[21:05:12.791] Worker-2 | EventoID=0 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=0F Payload[1]=64 Payload[2]=71
[21:05:13.169] Worker-2 | EventoID=1 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=43 Payload[1]=A4 Payload[2]=22
[21:05:13.340] Worker-3 | EventoID=2 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=CF Payload[1]=E9 Payload[2]=54
[21:05:13.744] Worker-3 | EventoID=3 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=B1 Payload[1]=3A Payload[2]=24
[21:05:14.240] Worker-2 | EventoID=4 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=BB Payload[1]=3F Payload[2]=73
[21:05:14.411] Worker-0 | EventoID=5 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=8A Payload[1]=56 Payload[2]=61
[21:05:14.778] Worker-1 | EventoID=6 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=D4 Payload[1]=BD Payload[2]=4D
[21:05:15.096] Worker-1 | EventoID=7 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=51 Payload[1]=E1 Payload[2]=1A
[21:05:15.409] Worker-0 | EventoID=8 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=05 Payload[1]=4E Payload[2]=41
[21:05:15.645] Worker-1 | EventoID=9 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=6A Payload[1]=94 Payload[2]=2B
[21:05:15.813] Worker-3 | EventoID=10 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=78 Payload[1]=A5 Payload[2]=49
[21:05:16.078] Worker-1 | EventoID=11 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=1A Payload[1]=B0 Payload[2]=58
[21:05:16.405] Worker-1 | EventoID=12 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=0F Payload[1]=83 Payload[2]=47
[21:05:16.888] Worker-2 | EventoID=13 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=DD Payload[1]=BC Payload[2]=16
[21:05:17.307] Worker-2 | EventoID=14 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=2E Payload[1]=F3 Payload[2]=55
